P1 \ P2,AzaZ_ow,Dagann_e,EnsgMaster,Forsa,GustafGabel,HooZher,Kayjuro_,LazyHelios,LilAggy,Mokyx,Niorra,NuclearPastaTom,Owarida,Pluryl,Rakushain_,RannisConsortBryan,RomainJacques_,SeriousChallenges,Teddy59C,Typin__,Unlucked_Destro,az_gar25,consta_sama,ironyeu,jeffqed,mr_dr_raven,pirl_fresh,poleuky,psiphicode,rambler_ing,theMixed_,wander652
AzaZ_ow,—,0.7645,0.7133,0.4925,0.5650,0.3642,0.4420,0.3997,0.6392,0.7914,0.4921,0.4622,0.8010,0.4214,0.6219,0.8215,0.5257,0.4906,0.7087,0.7382,0.7964,0.7471,0.6238,0.3916,0.4880,0.7050,0.6482,0.5059,0.5218,0.6741,0.7844,0.6097
Dagann_e,0.2355,—,0.2938,0.2624,0.3440,0.1208,0.2498,0.1973,0.3798,0.3244,0.2569,0.2857,0.4405,0.3292,0.2995,0.5983,0.2764,0.2474,0.4619,0.3270,0.5428,0.4978,0.4058,0.2028,0.2685,0.4419,0.4023,0.3509,0.2749,0.4386,0.3934,0.4143
EnsgMaster,0.2867,0.7062,—,0.6425,0.4353,0.2997,0.4319,0.3718,0.5121,0.5871,0.3196,0.3456,0.6533,0.3942,0.3711,0.6415,0.3904,0.5125,0.5860,0.6602,0.6467,0.6270,0.6886,0.3390,0.3989,0.6060,0.4889,0.4199,0.4770,0.5106,0.6784,0.5242
Forsa,0.5075,0.7376,0.3575,—,0.5057,0.2934,0.4872,0.4459,0.6336,0.4814,0.4881,0.4380,0.6807,0.4083,0.5832,0.5748,0.3715,0.4232,0.4819,0.6001,0.6670,0.7140,0.5405,0.3289,0.4016,0.6664,0.6370,0.5919,0.5200,0.6325,0.5764,0.5698
GustafGabel,0.4350,0.6560,0.5647,0.4943,—,0.2648,0.4766,0.3998,0.5455,0.4829,0.4173,0.3634,0.6496,0.4482,0.5501,0.6382,0.4491,0.4767,0.6020,0.6150,0.6331,0.5878,0.5090,0.2643,0.4259,0.5713,0.6062,0.5072,0.4698,0.5347,0.6452,0.5544
HooZher,0.6358,0.8792,0.7003,0.7066,0.7352,—,0.6345,0.5456,0.8154,0.7528,0.5805,0.5876,0.8660,0.6509,0.5722,0.8175,0.6318,0.6819,0.7823,0.8304,0.8830,0.7780,0.7854,0.4868,0.6370,0.8267,0.7701,0.6885,0.7068,0.7665,0.8126,0.7991
Kayjuro_,0.5580,0.7502,0.5681,0.5128,0.5234,0.3655,—,0.4701,0.6885,0.6342,0.4677,0.4627,0.7823,0.4601,0.4248,0.7406,0.4927,0.4778,0.6495,0.7160,0.7944,0.6835,0.5859,0.4257,0.4226,0.6908,0.6252,0.4714,0.4725,0.5784,0.7094,0.6342
LazyHelios,0.6003,0.8027,0.6282,0.5541,0.6002,0.4544,0.5299,—,0.7386,0.6071,0.5730,0.5411,0.7913,0.4677,0.6716,0.7359,0.5362,0.5959,0.6641,0.7140,0.7923,0.7364,0.5850,0.4770,0.5128,0.6820,0.6913,0.5920,0.5954,0.7326,0.7298,0.6417
LilAggy,0.3608,0.6202,0.4879,0.3664,0.4545,0.1846,0.3115,0.2614,—,0.4817,0.3360,0.3876,0.5888,0.2436,0.5416,0.7402,0.4267,0.4498,0.6703,0.4459,0.5661,0.5514,0.4639,0.2155,0.3869,0.5613,0.5715,0.4619,0.3964,0.5039,0.5853,0.4803
Mokyx,0.2086,0.6756,0.4129,0.5186,0.5171,0.2472,0.3658,0.3929,0.5183,—,0.3907,0.3530,0.6231,0.4532,0.4377,0.5851,0.3554,0.5642,0.6037,0.5279,0.6469,0.5516,0.4758,0.3317,0.4225,0.5785,0.5112,0.4288,0.4553,0.4503,0.5486,0.5213
